RANK,PLAYER,Team,Position,PASSING_C/A,PASSING_YDS,PASSING_TD,PASSING_INT,RUSHING_CAR,RUSHING_YDS,RUSHING_TD,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TD,RECEIVING_TAR,ROST,DIFFERENTIAL,FFP_TOTAL,FFP_AVG,ADP,ADP_ROUND,ROUND
250,DeeJay Dallas,Sea,RB,0/0,0,0,0,19,79,1,15,99,0,20,0.6,0,40.1,2.7,#N/A,#N/A,21
251,James Washington,Dal,WR,0/0,0,0,0,0,0,0,30,448,4,54,1.3,0,96.1,6,#N/A,#N/A,21
252,Terrace Marshall Jr.,Car,WR,0/0,0,0,0,0,0,0,39,444,2,64,1.8,0,95.6,6,#N/A,#N/A,21
253,Dolphins D/ST,Mia,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,35,-3.6,97.4,5.7,166.6,166.6,22
254,Rams D/ST,LAR,D/ST,0/0,0,0,0,0,0,0,0,0,0,0,42.2,-0.7,89.5,5.3,153.6,153.6,22
255,Greg Joseph,Min,K,0/0,0,0,0,0,0,0,0,0,0,0,8.4,0.1,123.7,7.3,168.9,168.9,22
256,Riley Patterson,Det,K,0/0,0,0,0,0,0,0,0,0,0,0,1.6,0.1,123.2,7.2,#N/A,#N/A,22
257,Brevin Jordan,Hou,TE,0/0,0,0,0,0,0,0,46,477,3,67,1.6,0,111.4,7,#N/A,#N/A,22
258,C.J. Uzomah,NYJ,TE,0/0,0,0,0,0,0,0,47,418,3,63,3.4,-0.1,104.7,6.5,#N/A,#N/A,22
259,Mo Alie-Cox,Ind,TE,0/0,0,0,0,0,0,0,34,434,4,53,1.8,0,102.7,6.4,#N/A,#N/A,22
260,Jauan Jennings,SF,WR,0/0,0,0,0,0,0,0,35,413,3,57,0.9,0,93.7,5.9,#N/A,#N/A,22
261,Braxton Berrios,NYJ,WR,0/0,0,0,0,8,49,0,34,345,2,51,6.1,-0.9,92.1,5.8,#N/A,#N/A,22
262,Kendrick Bourne,NE,WR,0/0,0,0,0,13,94,1,32,338,2,44,6.1,-0.8,91.2,5.7,#N/A,#N/A,22
263,Zay Jones,Jax,WR,0/0,0,0,0,0,0,0,33,399,3,53,0.9,0,89.3,5.6,#N/A,#N/A,22
264,Benny Snell Jr.,Pit,RB,0/0,0,0,0,54,211,2,4,30,0,6,1,0,38.6,2.6,#N/A,#N/A,22
265,Tyrion Davis-Price,SF,RB,0/0,0,0,0,43,184,1,3,24,0,4,2.2,0,32.9,2.2,#N/A,#N/A,23
266,Matt Ryan,Ind,QB,336/516,3752,23,11,40,120,2,0,0,0,0,11.2,0.2,224.5,14,167.1,167.1,23
267,Davis Mills,Hou,QB,382/593,4182,20,14,32,122,1,0,0,0,0,2.4,0,209.7,13.1,169.6,169.6,23
268,Kenny Pickett,Pit,QB,209/343,2309,12,9,31,124,1,0,0,0,0,8.6,-0.5,126.9,8.5,168.3,168.3,23
